holding,unit,schedule,treatment
1,43124574,15,even_5
1,43124574,16,even_5 + below_25
1,43124574,17,even_5 + above_25
1,43124574,18,even_5 + even_25
1,43124574,19,even_5 + clearcut_25
1,43124575,0,donothing
1,43124575,1,clearcut_25
1,43124576,0,donothing
1,43124576,1,below_25
1,43124576,2,above_25
1,43124576,3,even_25
1,43124576,4,clearcut_25
1,43124576,5,clearcut_5
1,43124576,6,clearcut_5 + first_25
1,43124577,0,donothing
1,43124577,1,below_25
1,43124577,2,above_25
1,43124577,3,even_25
1,43124578,0,donothing
1,43124578,1,clearcut_25
1,43124579,0,donothing
1,43124579,1,below_25
1,43124579,2,above_25
1,43124579,3,first_25
1,43124579,4,even_25
1,43124580,0,donothing
1,43124580,1,below_25
1,43124580,2,above_25
1,43124580,3,even_25
1,43124580,4,clearcut_25
